Current.State,tot.Estimate,tot.MOE,AL.Estimate,AL.MOE,AK.Estimate,AK.MOE,AZ.Estimate,AZ.MOE,AR.Estimate,AR.MOE,CA.Estimate,CA.MOE,CO.Estimate,CO.MOE,CT.Estimate,CT.MOE,DE.Estimate,DE.MOE,DC.Estimate,DC.MOE,FL.Estimate,FL.MOE,GA.Estimate,GA.MOE,HI.Estimate,HI.MOE,ID.Estimate,ID.MOE,IL.Estimate,IL.MOE,IN.Estimate,IN.MOE,IO.Estimate,IO.MOE,KS.Estimate,KS.MOE,KY.Estimate,KY.MOE,LA.Estimate,LA.MOE,ME.Estimate,ME.MOE,MD.Estimate,MD.MOE,MA.Estimate,MA.MOE,MI.Estimate,MI.MOE,MN.Estimate,MN.MOE,MS.Estimate,MS.MOE,MO.Estimate,MO.MOE,MT.Estimate,MT.MOE,NE.Estimate,NE.MOE,NV.Estimate,NV.MOE,NH.Estimate,NH.MOE,NJ.Estimate,NJ.MOE,NM.Estimate,NM.MOE,NY.Estimate,NY.MOE,NC.Estimate,NC.MOE,ND.Estimate,ND.MOE,OH.Estimate,OH.MOE,OK.Estimate,OK.MOE,OR.Estimate,OR.MOE,PA.Estimate,PA.MOE,RI.Estimate,RI.MOE,SC.Estimate,SC.MOE,SD.Estimate,SD.MOE,TN.Estimate,TN.MOE,TX.Estimate,TX.MOE,UT.Estimate,UT.MOE,VT.Estimate,VT.MOE,VA.Estimate,VA.MOE,WA.Estimate,WA.MOE,WV.Estimate,WV.MOE,WI.Estimate,WI.MOE,WY.Estimate,WY.MOE,PR.Estimate,PR.MOE
Maryland,"162,674","12,092",431,501,142,193,"2,202","1,991",128,164,"10,051","2,391","1,276",722,"1,908","1,847","5,245","2,257","20,296","3,674","8,205","2,441","3,790","1,510","1,352",845,270,205,"1,213",472,"1,052",593,"1,054",847,217,359,603,502,486,398,428,347,N/A,N/A,"4,455","1,834","1,079","1,118","1,073",848,0,225,"1,221",914,242,315,16,30,147,238,368,261,"7,170","3,101","1,401","1,391","14,439","3,649","6,501","2,100",0,225,"5,145","2,472","1,204",667,913,601,"16,851","4,425","1,253","1,088","3,369","1,251",0,225,724,489,"5,592","1,901","1,801","1,367",228,210,"21,670","3,806","1,526",859,"3,739","1,528",0,225,198,343,231,245
Massachusetts,"145,021","9,094",97,127,0,225,"1,427",728,50,85,"12,160","2,525","2,017","1,252","10,437","2,226",397,294,"2,214",839,"12,758","2,876","2,897","1,327",109,130,201,168,"3,187","1,217","1,014",627,227,191,667,580,0,225,762,465,"2,391","1,133","4,214","1,423",N/A,N/A,"1,209",598,772,496,96,87,703,489,395,381,125,166,"1,249",975,"11,508","2,844","6,272","1,574","1,123",759,"16,247","2,441","5,217","2,085",0,225,"3,804","1,742",78,111,386,400,"9,392","2,734","7,264","1,994","1,367",945,64,81,"3,996","2,098","6,165","1,659",380,637,"1,430",691,"5,186","1,485","1,523",739,234,299,752,609,858,"1,226","1,605",975
Michigan,"135,115","8,023",718,424,119,161,"4,049","1,191",603,378,"9,765","2,535","3,698","1,102","1,192",572,0,184,262,266,"14,236","2,418","3,394","1,180",780,614,658,515,"11,766","2,891","11,338","2,843",719,447,"1,077","1,185","2,013","1,036","1,759",861,270,263,"1,565",772,989,488,N/A,N/A,"1,388",549,395,377,"1,956","1,051",301,245,176,175,"1,412",861,404,700,"2,352","1,332","1,056",825,"4,383","2,442","4,514","2,152",444,563,"8,851","2,067","1,881",820,"2,051","1,073","3,835","1,249",0,184,"1,608",719,869,838,"2,693",868,"10,011","2,363","1,610",821,218,194,"2,521",937,"3,409","1,209",517,396,"5,261","1,368",29,52,349,228
Minnesota,"100,277","7,269",404,304,832,590,"4,770","2,171",920,450,"4,505","1,311","3,884","1,800",794,709,72,106,687,542,"5,844","1,659","1,898","1,039",531,459,450,366,"6,089","1,538","1,370",675,"5,689","2,033","1,436",992,"1,142","1,069",221,327,19,31,716,515,952,526,"2,884","1,098",N/A,N/A,416,646,"1,950","1,065",537,302,"2,343","1,881",443,305,352,322,299,280,832,439,"1,502",520,"1,350",914,"6,062","1,527","1,063",647,842,685,"2,320","1,165","1,702",774,381,523,733,445,"2,867",913,"1,309",744,"4,400","1,509",862,554,0,157,"1,716",963,"3,400","1,181",158,191,"15,404","2,045",925,991,503,310
Mississippi,"64,610","6,810","6,151","1,448",223,326,"1,356",779,"1,451",664,"2,921","1,477",106,139,99,127,611,498,0,222,"5,839","1,713","4,016","1,823",260,284,394,522,"1,365",617,426,271,"1,090","1,049",49,75,938,429,"4,518","1,374",89,159,330,269,478,582,181,283,0,222,N/A,N/A,855,831,0,222,"1,199","1,431","1,168","1,158",0,222,288,235,0,222,467,301,"1,717","1,279",0,222,"1,021",557,0,222,124,152,402,326,0,222,985,751,89,149,"13,818","4,678","6,880","2,157",0,222,0,222,"1,028",754,"1,135",948,0,222,543,558,0,222,126,131
Missouri,"143,688","8,831",852,586,676,556,"5,699","1,875","7,548","2,062","8,146","2,251","5,846","2,270",667,482,189,293,57,74,"5,471","1,428","5,555","2,306",643,606,780,658,"15,326","2,635","3,104","1,513","4,155","1,729","20,692","3,922","2,603","1,429","1,978","1,323",148,217,960,640,596,446,"1,714","1,035","1,701",819,"1,600","1,058",N/A,N/A,579,561,636,325,"1,656",995,214,229,488,340,969,538,"3,534","2,504","3,214","1,130",398,430,"2,885","1,285","4,633","1,668",687,463,"3,178","1,778",256,335,"1,226",812,429,294,"4,548","1,504","9,322","2,500","1,901",862,104,127,"2,006",811,"1,615",807,89,143,"1,455",789,960,756,763,705
Montana,"36,775","4,288",73,62,549,355,823,466,416,488,"5,577","1,651","2,118",817,0,182,0,182,31,51,628,468,460,288,90,11,"2,361","1,210",539,400,23,4,438,640,232,338,218,369,5,12,431,605,189,245,111,165,322,438,"1,439",939,36,75,36,72,N/A,N/A,620,656,531,343,31,31,51,78,649,556,58,69,0,182,799,553,79,105,257,285,"2,713","1,315",847,757,0,182,797,763,135,139,79,114,"2,417","1,057","2,246","1,980",143,186,678,720,"5,214","1,862",0,182,158,157,"1,128",627,0,182
Nebraska,"48,590","4,776",666,662,107,184,"1,367","1,276",937,821,"1,904","1,031","5,254","1,658",0,174,0,174,51,68,"2,296","1,347",955,874,162,166,"1,128",987,"2,336","1,358",867,652,"4,860","1,545","2,179",741,370,325,114,141,0,174,371,327,80,101,454,432,"1,233",536,32,56,"2,886","1,129",250,223,N/A,N/A,560,632,493,546,49,82,"1,007",637,711,444,943,764,445,367,841,751,225,255,162,152,954,728,0,174,445,446,"2,767","1,302",373,274,"2,475","1,266",301,360,0,174,"2,977","1,636",825,574,0,174,438,344,740,580,48,87
Nevada,"122,219","10,131",218,236,"1,565","2,107","7,972","2,396",835,"1,160","41,997","5,776","8,064","4,355",642,587,102,174,63,105,"5,935","2,327",997,809,"4,441","2,522","2,057",966,970,649,292,322,288,272,639,467,188,166,"1,157","1,066",0,232,633,470,767,590,"1,035",760,743,570,252,289,891,589,820,683,886,568,N/A,N/A,155,264,"1,077",684,"1,666",803,"2,582","1,121","1,072","1,002",197,244,"3,475","2,059","1,672","1,796","3,604","1,579","1,868","1,257",0,232,"1,233",873,30,67,600,412,"5,939","1,958","3,776","1,783",54,88,"2,246","1,440","5,516","2,136",0,232,853,717,155,129,154,208
New Hampshire,"39,695","4,451","1,530","1,662",103,112,702,556,0,200,"1,718","1,016",543,481,"1,776",828,0,200,80,112,"1,320",791,321,296,0,200,583,937,95,83,103,120,283,363,118,198,0,200,564,802,"1,604",713,705,595,"16,362","3,022",136,193,115,146,477,709,0,200,0,200,0,200,35,60,N/A,N/A,395,275,346,371,"1,777",807,273,181,0,200,127,212,371,427,0,200,"1,914",929,333,273,61,94,0,200,586,525,"1,473","1,039",560,620,"1,890",857,201,283,110,179,0,200,5,15,0,200,84,143
New Jersey,"156,335","10,892",178,220,54,97,"1,140",637,165,209,"9,431","2,893","2,332","1,204","2,483","1,088","1,291",800,639,391,"9,635","2,547","1,865",900,820,618,29,49,"3,183","1,941","1,114",914,42,97,442,410,284,259,935,645,418,384,"3,877","1,670","4,851","1,824",679,494,354,353,80,132,"1,217","1,017",114,102,12,4,200,189,102,78,N/A,N/A,187,169,"55,926","6,769","3,461","1,120",465,900,"1,267",643,906,822,723,618,"29,564","4,532",660,617,"2,619","1,402",0,225,611,478,"4,360","2,035",901,743,302,279,"3,918","1,291","1,456",801,704,537,194,210,145,180,662,513
New Mexico,"64,673","6,466",837,836,345,380,"3,535","1,180",477,513,"8,126","2,257","5,853","1,979",305,332,0,211,"1,261","1,069","1,207",634,"1,110","1,025",449,447,"1,510",852,"1,129",899,81,133,276,225,"1,500","1,049",181,228,"1,443","1,828",106,143,14,15,577,453,"1,383",939,275,223,4,9,501,415,"1,146","1,004",325,187,"1,243",708,62,110,641,358,N/A,N/A,184,181,522,618,362,589,"1,216",705,296,286,733,400,678,611,0,211,627,505,323,302,523,427,"16,975","3,993","1,701",902,0,211,530,387,"3,591","2,232",0,211,304,467,206,251,0,211
New York,"302,835","14,489","1,389",904,445,733,"3,934","1,161",649,661,"31,097","3,493","5,110","1,500","15,165","3,537","1,867",899,"3,271","1,057","24,749","3,312","8,013","2,384","1,615",873,214,241,"8,628","2,800","1,347",643,"1,184",813,"2,816","1,988","2,678","1,472","1,574",800,"3,190",968,"8,119","2,139","21,001","2,868","2,606",826,"1,321",631,503,482,"1,433",741,660,420,432,293,"1,844","1,089","1,859",801,"40,474","4,833",840,546,N/A,N/A,"9,000","2,110",18,30,"7,648","2,405",458,238,"1,157",516,"27,603","4,388","2,073","1,060","3,192","1,041",100,130,"4,360","1,493","18,956","3,658","3,081","1,716","3,926","1,291","11,930","2,632","6,261","2,935",507,375,"2,217",813,321,286,"3,539","1,328"
