HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,LATITUDE,LONGITUDE,FIPS2020,N_UNITS,LI_UNITS,YR_PIS,YR_ALLOC,NON_PROF,BASIS,BOND,FMHA_515,CREDIT,HOME_AMT,CDBG_AMT,HPVI_AMT,NONPROG,
"PAA20070130","MATOPOS HILLS","925 JOHN ST","CHESTER",PA,"19013",39.844739,-75.381206,"42045405200",82,82,2007,2005,2,1,2,2,2,0,0,,,
"PAA20070135","NEIGHBORHOOD RESTORATION XVIII","134 S 50TH ST","PHILADELPHIA",PA,"19139",39.957157,-75.221655,"42101008500",40,40,2007,2006,2,1,2,2,3,0,0,,,
"PAA20070140","NEIGHBORHOOD RESTORATION XIX","27 S 54TH ST","PHILADELPHIA",PA,"19139",39.959656,-75.228569,"42101008500",20,20,2007,2007,2,1,2,2,3,0,0,,,
"PAA20070145","PARKSIDE COMMONS","359 WALNUT ST","MEADVILLE",PA,"16335",41.639502,-80.149204,"42039111500",56,56,2007,2006,2,2,2,2,3,0,200000,,,
"PAA20070150","SCHARTNER HOUSE","1271 GETTYSBURG PIKE","DILLSBURG",PA,"17019",40.135034,-77.019024,"42133020422",50,50,2007,2005,1,2,2,2,2,0,0,,,
"PAA20070155","STONY BROOK GARDENS","86 THEATER LN","YORK",PA,"17402",39.98066,-76.650016,"42133010131",84,84,2007,2006,1,2,2,2,2,0,950000,,,
"PAA20070160","TARENTUM SENIOR HOUSING PHASE II","704 SECOND AVE","TARENTUM",PA,"15084",40.603379,-79.745315,"42003403500",72,70,2007,2005,2,2,2,2,3,600000,0,,,
"PAA20070165","TENNY STREET APTS","355 TENNY ST","BLOOMSBURG",PA,"17815",41.009746,-76.408266,"42037050800",21,21,2007,2005,1,2,2,2,3,353697,0,,,
"PAA20070170","COMMONS AT POINT BREEZE","1626 ANNIN ST","PHILADELPHIA",PA,"19146",39.936693,-75.171141,"42101002200",55,55,2007,2006,1,1,2,2,2,500000,000000,,,
"PAA20070175","WASHINGTON SQUARE WEST","233 S 13TH ST","PHILADELPHIA",PA,"19107",39.947736,-75.162192,"42101000901",131,131,2007,2004,2,2,2,2,2,0,0,,,
"PAA20070180","WELSH HEIGHTS","100 FLEMING AVE","DANVILLE",PA,"17821",40.970886,-76.615187,"42093050300",24,24,2007,2006,1,2,2,2,2,968560,324602,,,
"PAA20070185","WEST PARK COURT","710 W N AVE","PITTSBURGH",PA,"15212",40.454214,-80.014213,"42003565100",112,110,2007,2006,1,1,1,2,3,0,0,,,
"PAA20080005","ALLEGHENY INDEPENDENCE HOUSE","210 MARGUERITE AVE","WILMERDING",PA,"15148",40.392733,-79.806438,"42003508000",25,25,2008,2007,2,2,1,2,,0,0,,,
"PAA20080010","ANGELA COURT II","4400 FAIRMOUNT AVE","PHILADELPHIA",PA,"19104",39.964313,-75.211467,"42101010500",54,54,2008,2006,1,1,2,2,2,0,0,,,
"PAA20080015","BEDFORD HILL APTS II","","PITTSBURGH",PA,"15221",40.4366,-79.8777,"42003564700",116,91,2008,2006,2,1,2,2,2,0,0,,,
"PAA20080020","BETHLEHEM YMCA","430 E BRD ST","BETHLEHEM",PA,"18018",40.621,-75.3895,"42077009500",35,33,2008,2006,1,2,2,2,2,0,0,,,
"PAA20080025","BRANDYWINE HEALTH & HOUSING","744 E LINCOLN HWY","COATESVILLE",PA,"19320",39.985347,-75.809283,"42029305700",24,24,2008,2006,1,2,2,2,2,0,0,,,
